date,height,discharge
2023-03-13,6.96,1000
2023-05-18,6.50,685
2023-07-21,6.97,876
2023-09-18,5.12,160
2023-11-17,5.45,258
2024-01-29,13.31,7820
2024-03-13,7.35,1200
2024-04-03,20.21,18200
2024-04-03,20.21,18200
2024-04-03,20.21,18200
2024-05-10,9.60,3500
2024-07-12,5.44,249
2024-09-12,5.08,128
2024-09-12,5.08,124
2024-11-22,5.10,145
2025-01-31,5.79,339
2025-04-02,9.21,3090
