depth,shift,discharge,flag
6.79,-0.13,833.91,
6.80,-0.13,839.40,
6.81,-0.13,844.91,
6.82,-0.13,850.45,
6.83,-0.13,856.00,
6.84,-0.13,861.87,
6.85,-0.13,867.76,
6.86,-0.13,873.68,
6.87,-0.13,879.62,
6.88,-0.13,885.58,
6.89,-0.13,891.57,
6.90,-0.13,897.58,*
6.91,-0.13,903.62,
6.92,-0.13,909.68,
6.93,-0.13,915.77,
6.94,-0.13,921.88,
6.95,-0.13,928.02,
6.96,-0.13,934.18,
6.97,-0.13,940.37,
6.98,-0.13,946.58,
6.99,-0.13,952.81,
7.00,-0.13,959.07,
7.01,-0.13,965.36,
7.02,-0.13,971.67,
7.03,-0.13,978.00,
7.04,-0.13,983.90,
7.05,-0.13,989.83,
7.06,-0.13,995.78,
7.07,-0.13,1001.74,
7.08,-0.13,1007.73,
7.09,-0.13,1013.74,
7.10,-0.13,1019.76,*
7.11,-0.13,1025.81,
7.12,-0.13,1031.88,
7.13,-0.13,1037.97,
7.14,-0.13,1044.08,
7.15,-0.13,1050.21,
7.16,-0.13,1056.36,
7.17,-0.13,1062.53,
7.18,-0.13,1068.73,
7.19,-0.13,1074.94,
7.20,-0.13,1081.17,
7.21,-0.13,1087.43,
7.22,-0.13,1093.70,
7.23,-0.13,1100.00,
7.24,-0.13,1107.22,
7.25,-0.13,1114.46,
7.26,-0.13,1121.74,
7.27,-0.13,1129.04,
7.28,-0.13,1136.38,
7.29,-0.13,1143.74,
7.30,-0.13,1151.13,*
7.31,-0.13,1158.56,
7.32,-0.13,1166.01,
7.33,-0.13,1173.50,
7.34,-0.13,1181.01,
7.35,-0.13,1188.56,
7.36,-0.13,1196.13,
7.37,-0.13,1203.73,
7.38,-0.13,1211.37,
7.39,-0.13,1219.03,
7.40,-0.13,1226.73,
7.41,-0.13,1234.46,
7.42,-0.13,1242.21,
7.43,-0.13,1250.00,
7.44,-0.13,1257.26,
7.45,-0.13,1264.54,
7.46,-0.13,1271.85,
7.47,-0.13,1279.19,
7.48,-0.13,1286.55,
7.49,-0.13,1293.93,
7.50,-0.13,1301.34,*
7.51,-0.13,1308.78,
7.52,-0.13,1316.24,
7.53,-0.13,1323.73,
7.54,-0.13,1331.24,
7.55,-0.13,1338.78,
7.56,-0.13,1346.34,
7.57,-0.13,1353.93,
7.58,-0.13,1361.54,
7.59,-0.13,1369.18,
7.60,-0.13,1376.85,
7.61,-0.13,1384.54,
7.62,-0.13,1392.26,
7.63,-0.13,1400.00,
7.64,-0.13,1407.93,
7.65,-0.13,1415.90,
7.66,-0.13,1423.88,
7.67,-0.13,1431.90,
